Task, Min_Duration, Max_Duration
Install a new light fixture in the living room, 0, 0
Attend a self-improvement seminar, 0, 0
Walk the dog, 0, 0
Learn to solve a Sudoku puzzle, 0, 0
Research and compare internet service providers for a better plan, 0, 0
Do the dishes, 0, 0
Try a new type of pizza, 0, 0
Collaborating on a group project, 0, 0
Try a new type of noodle dish, 0, 0
Seasonal wardrobe rotation and organization, 0, 0
Cleaning a house with multiple rooms, 0, 0
Creating a detailed project plan for a business, 0, 0
Schedule a dentist appointment for a checkup, 0, 0
Try a new type of vegetarian dish, 0, 0
Play a game on the phone, 0, 0
Volunteer for a tree planting initiative, 0, 0
Attend a religious service, 0, 0
Volunteer for a clean energy initiative, 0, 0
Volunteer for a food sustainability project, 0, 0
Take a day trip to a nature reserve, 0, 0
Weekly project status updates, 0, 0
Attend a local farmers' market, 0, 0
Research a historical event, 0, 0
Create a timecapsule, 0, 0
Write a letter to a family member in another country, 0, 0
Visit a farmers' market, 0, 0
Learn to make homemade ice cream, 0, 0
Attend a local jazz music festival, 0, 0
Learn to play a traditional board game from another culture, 0, 0
Volunteer at a wildlife conservation project, 0, 0
Planting a small garden, 0, 0
Join a local birdwatching hike, 0, 0
Join a local storytelling event, 0, 0
Volunteer for a neighborhood cleanup, 0, 0
Attend a poetry slam event, 0, 0
Designing and building a custom wardrobe, 0, 0
Plan a day of horseback riding, 0, 0
Learn to make your own natural beauty products, 0, 0
Update and organize important documents in a home filing system, 0, 0
Learn a new board game, 0, 0
Try a new type of vegetable dish, 0, 0
Attend a local TEDx event, 0, 0
Register to spring courses, 0, 0
Making a homemade pizza from scratch, 0, 0
Practice leetcode for interview, 0, 0
Ironing one shirt, 0, 0
Join a local swing dance workshop, 0, 0
Plan and plant a garden, 0, 0
Plan a visit to a science center, 0, 0
Attend a philosophy discussion group, 0, 0
Ask manager for a raise, 0, 0
Go for a bike ride, 0, 0
Get an oil change for the car, 0, 0
Attend a local magic show, 0, 0
Write a poem, 0, 0
Plan a visit to a sustainable living exhibition, 0, 0
Volunteer for a community theater production, 0, 0
Join a local hiking group, 0, 0
Volunteer at an art therapy program, 0, 0
Designing and implementing a landscaping project, 0, 0
Volunteer at a community recycling center, 0, 0
Plan a visit to a maritime museum, 0, 0
Take a birdwatching hike, 0, 0
Attend a local magic or illusion show, 0, 0
Volunteering at a local charity, 0, 0
Organize and declutter the closet, 0, 0
Cooking a gourmet three-course meal, 0, 0
Volunteer for an animal adoption event, 0, 0
Try a new type of curry, 0, 0
Visit a museum, 0, 0
Learn to ride a unicycle, 0, 0
Volunteer for a community mentorship program, 0, 0
Update linkedin profile, 0, 0
Attend a live performance (concert, play, etc.), 0, 0
Pray duhr, 0, 0
Solve a math problem set, 0, 0
Creating a detailed financial analysis for a company, 0, 0
Attend a woodworking workshop, 0, 0
Write a letter to a family member, 0, 0
Visit the local library to return and borrow books, 0, 0
Plan a visit to a planetarium, 0, 0
Developing a basic mobile app, 0, 0
Quarterly performance reviews at work, 0, 0
Volunteer for a community cooking class, 0, 0
Try a new type of burger, 0, 0
Attend a documentary screening and discussion, 0, 0
Planning a corporate retreat with team-building activities, 0, 0
Writing a detailed research paper, 0, 0
Donate unused clothes to a local charity, 0, 0
Attend a local poetry reading, 0, 0
Join a local photography expedition, 0, 0
Join a local swing dance group, 0, 0
Write a letter of appreciation to a mentor, 0, 0
Designing and launching a new product, 0, 0
Take a scenic drive, 0, 0
Plan a visit to a botanical garden, 0, 0
Attend a local storytelling event, 0, 0
Take a day trip to a historical village, 0, 0
Working on a task with family members, 0, 0
Write a letter to your future self, 0, 0
Learn to play frisbee golf, 0, 0
Attend a local film screening and discussion, 0, 0
Plan a visit to a cultural heritage site, 0, 0
Learn to play a card game, 0, 0
Attend a local spoken word poetry class, 0, 0
Write a gratitude journal entry, 0, 0
Developing a comprehensive business plan, 0, 0
Create a time capsule, 0, 0
Volunteer for an LGBTQ+ support group, 0, 0
Take cat to vet for checkup, 0, 0
Try a new type of pickling or fermenting, 0, 0
Planning a surprise party, 0, 0
Working on a personal project at home, 0, 0
Volunteer for a coding mentorship program, 0, 0
Attend a local wine tasting event, 0, 0
Create a scrapbook, 0, 0
Attend a local kite-making workshop, 0, 0
Volunteer at a community music festival, 0, 0
Volunteer at a community radio station, 0, 0
Learn to play a board game strategy, 0, 0
Attend a local film festival, 0, 0
Volunteer for an environmental conservation project, 0, 0
Join a local birdwatching club, 0, 0
Attend a photography exhibition, 0, 0
Attend a local DIY craft fair, 0, 0
Join a local improv comedy group, 0, 0
Schedule a home energy audit, 0, 0
Teach my dog to do a flip, 0, 0
Plan a visit to a botanical arboretum, 0, 0
Set up a meeting with a financial advisor to discuss investments, 0, 0
Plan a visit to a wildlife rehabilitation center, 0, 0
Seasonal lawn maintenance, 0, 0
Attend a disco event, 0, 0
Plan a visit to a historic lighthouse, 0, 0
Learn to solve a Rubik's Cube, 0, 0
Volunteer at a senior center, 0, 0
Join a local astronomy club, 0, 0
Try a new workout routine, 0, 0
Learn to play disc golf, 0, 0
Take a cooking class focused on desserts, 0, 0
Volunteer at a local animal sanctuary, 0, 0
Join a local bird photography club, 0, 0
Conducting a research study, 0, 0
Daily social media check-ins, 0, 0
Attending a fitness class, 0, 0
Learn to make homemade pasta, 0, 0
Join a local mindfulness meditation group, 0, 0
Plan a visit to a science and technology museum, 0, 0
Join a local meditation group, 0, 0
Plan and execute a home spa day, 0, 0
Producing a feature-length film, 0, 0
Organizing a large-scale conference, 0, 0
Meditating for 5 minutes, 0, 0
Monthly book club meetings, 0, 0
Attend a workshop on personal development, 0, 0
Pray fajr, 0, 0
Attend a local spoken word poetry event, 0, 0
Get yearly physical scheduled, 0, 0
Try a new type of tea, 0, 0
Call mom, 0, 0
Join a sports league, 0, 0
Installing a new light fixture, 0, 0
Join a local chess strategy workshop, 0, 0
Plan a day of paddleboarding, 0, 0
Attend a local environmental film festival, 0, 0
Plan a visit to a history museum, 0, 0
Baking a batch of cookies, 0, 0
Volunteer at a community health fair, 0, 0
Try a new type of craft beer, 0, 0
Join a local chess club, 0, 0
Try a new type of cuisine, 0, 0
Completing a home renovation project, 0, 0
Write a letter to a future employer, 0, 0
Volunteer for a beach cleanup, 0, 0
Attend a community theater production, 0, 0
Writing and producing a play, 0, 0
Research and plan a road trip, 0, 0
Attend a yoga class, 0, 0
Building a backyard deck, 0, 0
Watch a documentary, 0, 0
Schedule session with therapist, 0, 0
Attend a science fiction convention, 0, 0
Assembling a complex piece of furniture, 0, 0
Launching a political campaign, 0, 0
Volunteer at a local charity, 0, 0
Pray asr, 0, 0
Water indoor plants, 0, 0
Volunteer at a music therapy program, 0, 0
Take a gardening workshop, 0, 0
Writing a book, 0, 0
Conducting a usability study for a product, 0, 0
Plan a day of random acts of kindness, 0, 0
Join a local running club, 0, 0
Plan a visit to a wildlife sanctuary, 0, 0
Purchase a new set of pots and pans for the kitchen, 0, 0
Taking a work-related online course, 0, 0
Daily morning routine, 0, 0
Join a local swing dance class, 0, 0
Join a local comedy club, 0, 0
Participating in a team-building exercise, 0, 0
Try a new type of dance, like salsa or tango, 0, 0
Start a blog, 0, 0
Attend a poetry reading, 0, 0
Attend a local reggae dance class, 0, 0
Cooking a three-course meal, 0, 0
Attend a local salsa music festival, 0, 0
Washing a single dish, 0, 0
Go whitewater rafting, 0, 0
Take a photography walk, 0, 0
Learn to play a traditional card game from another culture, 0, 0
Join a local writing group, 0, 0
Drop off dry cleaning, 0, 0
Take a day trip to a nearby town, 0, 0
Talk with bank about suspicious charge, 0, 0
Daily commuting to work, 0, 0
Attend a local reggae music festival, 0, 0
Volunteer for a community clean-up initiative, 0, 0
Volunteer for a coding bootcamp, 0, 0
Learn to play a new card game, 0, 0
Attend a classical music concert, 0, 0
Read a chapter of a book, 0, 0
Try a new type of plant-based milk, 0, 0
Volunteer at a homeless shelter, 0, 0
Clean bathroom, 0, 0
Try a new type of chocolate, 0, 0
Try a new type of exotic cuisine, 0, 0
Go to a local library and read a new book, 0, 0
Watering a potted plant, 0, 0
Learn to make homemade sushi, 0, 0
Grocery shopping at a local market, 0, 0
Plan a visit to an art gallery, 0, 0
Creating a documentary film, 0, 0
Write a short story, 0, 0
Stack a cord of wood, 0, 0
Join a local photography club, 0, 0
Organizing a community event, 0, 0
Practice mindfulness for 10 minutes, 0, 0
Call a friend for a catch-up, 0, 0
Read Quran, 0, 0
Go to Jumuah prayer, 0, 0
Create a budget for the month, 0, 0
Replace the air filters in the home HVAC system, 0, 0
Plan a surprise for a loved one, 0, 0
Volunteer for a disaster relief organization, 0, 0
Take a shower, 0, 0
Fill up gas for tomorrows trip, 0, 0
Join a local poetry slam, 0, 0
Designing and building a custom house, 0, 0
Fold laundry, 0, 0
Try a new type of pastry, 0, 0
Visit doctor, 0, 0
Assemble new desk, 0, 0
Yearly vacation planning and booking, 0, 0
Launching a startup company, 0, 0
Go stargazing, 0, 0
Plan a day of kayaking, 0, 0
Explore a nearby hiking trail, 0, 0
Establishing a non-profit organization, 0, 0
Collaborating on a virtual team project, 0, 0
Completing a task at your workplace, 0, 0
Plan a visit to an aquarium, 0, 0
Read a chapter of a novel, 0, 0
Setting up a home theater system, 0, 0
Learn to play a new party game, 0, 0
Join a local rock climbing group, 0, 0
Attend a stand-up comedy show, 0, 0
Water plants, 0, 0
Create a weekly meal plan, 0, 0
Organizing a neighborhood cleanup, 0, 0
Join a local storytelling group, 0, 0
Organizing a charity event with various activities, 0, 0
Take a day trip to a mountain hike, 0, 0
Assembling a small piece of furniture, 0, 0
Take a jewelry making class, 0, 0
Try a new type of seafood dish, 0, 0
Purchase gift for friend's birthday, 0, 0
Monthly budgeting and financial planning, 0, 0
Plan a weekend hike or outdoor activity, 0, 0
Volunteer at a literacy program, 0, 0
Learn to play a new board game, 0, 0
Try a new type of herbal tea, 0, 0
Planning a wedding, 0, 0
Plan a visit to a historical battlefield, 0, 0
Try a new type of sandwich, 0, 0
Learn to play the harmonica, 0, 0
Buy groceries for the week, 0, 0
Join a local astronomy observation night, 0, 0
Plan a visit to an archaeological site, 0, 0
Take a salsa dancing class, 0, 0
Learn to make your own natural cleaning products, 0, 0
Planning and executing a themed party, 0, 0
